id;review
0;"денег своих не стоит есть дешевле , размер не соответствует своим параметрам, большемерит"
1;"Размер точный, очень удобные, хорошо сидят на ноге, лёгкие, не промокают."
2;"качественный 👍"
3;"очень удобная обувь,всем советую"
4;"Отвратительные ботинки"
5;"По качеству понравились. На ноге сидят отлично. У меня размер 38, заказывала 39 подошел по ноге"
6;"Первое впечатление,ботинки сделаны качественно,посмотрим,что будет в дальнейшем."
7;"отличная обувь"
8;"отличные ботинки, но нужно брать на размер больше"
9;"Размер соответствует, практически сразу на правом ботинке некорректно стала работать боа через раз не держится! Ботинки сложно назвать кроссовками это прям ботинки и они прям на очень толстую ногу , короче отстой не берите !"
10;"жмёт большой палец с внутренней стороны стопы."
11;"легкие немного маломерит"
12;"Очень удобные ,то что нужно"
13;"удобные, дышащие но хватило на сезон ежедневной носки"
14;"маломерки,и быстро порвались за пару дней ,качество 0"
15;"Хорошая обувь,время покажет качество."
16;"не дышут, на одном ботинке механизм вышел из строя"
17;"по размеру подошли, качеством доволен"
18;"Отвратное стало качество. Проходил в них два месяца и порвались. Выкинул и к сожалению фото не сделал"
19;"👍👍👍👍👍👍👍👍"
20;"Все отлично. Товар соответствует, качественный. Размерность ноги 1 к 1, как написанно."
21;"Хорошие"
22;"класс"
23;"ок"
24;"удобные кроссовки, грязь не видна, не требуют особого ухода. рекомендуем 100%"
25;"ботинки удобные, размер соответствует 👍"
26;"брали такие черные два раза, мужу понравились. удобные, комфортные. нога в них не устает"
27;"всё вовремя, качество хорошее, размер в размер."
28;"лёгкие, удобные, нога дышит, по лужам ещё не ходил, по этому не знаю работает ли мембрана, в целом покупкой доволен"
29;"оказались на один сезон.После зимы лопнула ткань на сгибе стопы. В остальном достойные,но, думаю, если активно заниматься трекингом на долго их не хватит."
30;"Большемерит не тот размер("
31;"Размер подошёл, боа работает нормально. По комфорту похуже моих бывших Карримотов, подошва уж слишком жесткая, и подъем пятки великоват."
32;"Шнуровка развалилась на второй день"
33;"Пришли даже раньше сидит как надо"
34;"качество отличное."
35;"На размер больше нужно брать, прям в притык"
36;"механизм затяжки очень хлипкий,сломался на третий день"
37;"отличное качество, рекомендую"
38;"ботинки ужасные в боевых условиях не выдержали даже одного дня, расклеились.очень жаль, придётся сыну покупать более качественный товар 😡"
39;"отличные ботинки лёгкие и удобные"
40;"потерялась деталь от быстро затягивающих шнуровка"
41;"крючок"
42;"идут размер в размер конкретно эта модель. Пака нравятся"
43;"до сих пор ношу. и не каких шнурков"
44;"размер подошёл идеально, сколько отходят посмотрим"
45;"Отличные ботинки, муж доволен. Только вот промокают"
46;"👍🔥"
47;"Пришли в ровно в размер, как и указано. лёгкие удобные, ноги дышат! при ходьбе по лужам , сильно не промаокают"
48;"хорошая обувь, 8-9месяцев выдерживает нагрузки, слабовата крутила для шнуровки"
49;"44 с кевларовой стелькой на 43 самый раз"
50;"На вид норм,легкие,по ноге село идеально,при ходьбе посмотрим!"
51;"Во второй день сломался крутилка"
